year,site_id,site_name,launches_eff,launches_eff_int,base_2025,alpha_strength,r_post2050,K_carrying,model
2025,FL_US,108.0,108.0,108,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2026,FL_US,108.0,110.279,110,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2027,FL_US,108.0,112.606,113,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2028,FL_US,108.0,114.982,115,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2029,FL_US,108.0,117.408,117,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2030,FL_US,108.0,119.886,120,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2031,FL_US,108.0,122.415,122,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2032,FL_US,108.0,124.998,125,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2033,FL_US,108.0,127.636,128,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2034,FL_US,108.0,130.329,130,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2035,FL_US,108.0,133.079,133,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2036,FL_US,108.0,135.887,136,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2037,FL_US,108.0,138.755,139,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2038,FL_US,108.0,141.683,142,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2039,FL_US,108.0,144.672,145,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2040,FL_US,108.0,147.725,148,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2041,FL_US,108.0,150.842,151,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2042,FL_US,108.0,154.025,154,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2043,FL_US,108.0,157.275,157,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2044,FL_US,108.0,160.594,161,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2045,FL_US,108.0,163.982,164,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2046,FL_US,108.0,167.443,167,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2047,FL_US,108.0,170.976,171,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2048,FL_US,108.0,174.583,175,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2049,FL_US,108.0,178.267,178,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2050,FL_US,108.0,182.029,182,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2051,FL_US,108.0,194.696,195,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2052,FL_US,108.0,208.239,208,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2053,FL_US,108.0,222.717,223,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2054,FL_US,108.0,238.195,238,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2055,FL_US,108.0,254.74,255,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2056,FL_US,108.0,272.425,272,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2057,FL_US,108.0,291.327,291,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2058,FL_US,108.0,311.528,312,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2059,FL_US,108.0,333.115,333,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2060,FL_US,108.0,356.181,356,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2061,FL_US,108.0,380.827,381,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2062,FL_US,108.0,407.156,407,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2063,FL_US,108.0,435.282,435,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2064,FL_US,108.0,465.322,465,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2065,FL_US,108.0,497.404,497,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2066,FL_US,108.0,531.662,532,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2067,FL_US,108.0,568.239,568,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2068,FL_US,108.0,607.284,607,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2069,FL_US,108.0,648.959,649,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2070,FL_US,108.0,693.432,693,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2071,FL_US,108.0,740.883,741,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2072,FL_US,108.0,791.502,792,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2073,FL_US,108.0,845.488,845,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2074,FL_US,108.0,903.054,903,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2075,FL_US,108.0,964.42,964,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2076,FL_US,108.0,1029.823,1030,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2077,FL_US,108.0,1099.509,1100,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2078,FL_US,108.0,1173.737,1174,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2079,FL_US,108.0,1252.778,1253,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2080,FL_US,108.0,1336.918,1337,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2081,FL_US,108.0,1426.455,1426,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2082,FL_US,108.0,1521.698,1522,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2083,FL_US,108.0,1622.973,1623,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2084,FL_US,108.0,1730.616,1731,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2085,FL_US,108.0,1844.976,1845,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
2086,FL_US,108.0,1966.415,1966,108.0,1.15,0.07,30908.374192678333,exp_to_2050_then_logistic_adjusted
